Año,Mes,Hora,Demanda_MW
1,1,0, 263 
1,2,0, 244 
1,3,0, 250 
1,4,0, 225 
1,5,0, 252 
1,6,0, 259 
1,7,0, 278 
1,8,0, 263 
1,9,0, 245 
1,10,0, 243 
1,11,0, 235 
1,12,0, 259 
2,1,0, 263 
2,2,0, 244 
2,3,0, 250 
2,4,0, 225 
2,5,0, 252 
2,6,0, 259 
2,7,0, 278 
2,8,0, 263 
2,9,0, 245 
2,10,0, 243 
2,11,0, 235 
2,12,0, 259 
3,1,0, 263 
3,2,0, 244 
3,3,0, 250 
3,4,0, 225 
3,5,0, 252 
3,6,0, 259 
3,7,0, 278 
3,8,0, 263 
3,9,0, 245 
3,10,0, 243 
3,11,0, 235 
3,12,0, 259 
4,1,0, 263 
4,2,0, 244 
4,3,0, 250 
4,4,0, 225 
4,5,0, 252 
4,6,0, 259 
4,7,0, 278 
4,8,0, 263 
4,9,0, 245 
4,10,0, 243 
4,11,0, 235 
4,12,0, 259 
5,1,0, 263 
5,2,0, 244 
5,3,0, 250 
5,4,0, 225 
5,5,0, 252 
5,6,0, 259 
5,7,0, 278 
5,8,0, 263 
5,9,0, 245 
5,10,0, 243 
5,11,0, 235 
5,12,0, 259 
6,1,0, 263 
6,2,0, 244 
6,3,0, 250 
6,4,0, 225 
6,5,0, 252 
6,6,0, 259 
6,7,0, 278 
6,8,0, 263 
6,9,0, 245 
6,10,0, 243 
6,11,0, 235 
6,12,0, 259 
7,1,0, 263 
7,2,0, 244 
7,3,0, 250 
7,4,0, 225 
7,5,0, 252 
7,6,0, 259 
7,7,0, 278 
7,8,0, 263 
7,9,0, 245 
7,10,0, 243 
7,11,0, 235 
7,12,0, 259 
8,1,0, 263 
8,2,0, 244 
8,3,0, 250 
8,4,0, 225 
8,5,0, 252 
8,6,0, 259 
8,7,0, 278 
8,8,0, 263 
8,9,0, 245 
8,10,0, 243 
8,11,0, 235 
8,12,0, 259 
9,1,0, 263 
9,2,0, 244 
9,3,0, 250 
9,4,0, 225 
9,5,0, 252 
9,6,0, 259 
9,7,0, 278 
9,8,0, 263 
9,9,0, 245 
9,10,0, 243 
9,11,0, 235 
9,12,0, 259 
10,1,0, 263 
10,2,0, 244 
10,3,0, 250 
10,4,0, 225 
10,5,0, 252 
10,6,0, 259 
10,7,0, 278 
10,8,0, 263 
10,9,0, 245 
10,10,0, 243 
10,11,0, 235 
10,12,0, 259 
1,1,1, 234 
1,2,1, 218 
1,3,1, 223 
1,4,1, 203 
1,5,1, 222 
1,6,1, 225 
1,7,1, 240 
1,8,1, 229 
1,9,1, 222 
1,10,1, 213 
1,11,1, 208 
1,12,1, 228 
2,1,1, 234 
2,2,1, 218 
2,3,1, 223 
2,4,1, 203 
2,5,1, 222 
2,6,1, 225 
2,7,1, 240 
2,8,1, 229 
2,9,1, 222 
2,10,1, 213 
2,11,1, 208 
2,12,1, 228 
3,1,1, 234 
3,2,1, 218 
3,3,1, 223 
3,4,1, 203 
3,5,1, 222 
3,6,1, 225 
3,7,1, 240 
3,8,1, 229 
3,9,1, 222 
3,10,1, 213 
3,11,1, 208 
3,12,1, 228 
4,1,1, 234 
4,2,1, 218 
4,3,1, 223 
4,4,1, 203 
4,5,1, 222 
4,6,1, 225 
4,7,1, 240 
4,8,1, 229 
4,9,1, 222 
4,10,1, 213 
4,11,1, 208 
4,12,1, 228 
5,1,1, 234 
5,2,1, 218 
5,3,1, 223 
5,4,1, 203 
5,5,1, 222 
5,6,1, 225 
5,7,1, 240 
5,8,1, 229 
5,9,1, 222 
5,10,1, 213 
5,11,1, 208 
5,12,1, 228 
6,1,1, 234 
6,2,1, 218 
6,3,1, 223 
6,4,1, 203 
6,5,1, 222 
6,6,1, 225 
6,7,1, 240 
6,8,1, 229 
6,9,1, 222 
6,10,1, 213 
6,11,1, 208 
6,12,1, 228 
7,1,1, 234 
7,2,1, 218 
7,3,1, 223 
7,4,1, 203 
7,5,1, 222 
7,6,1, 225 
7,7,1, 240 
7,8,1, 229 
7,9,1, 222 
7,10,1, 213 
7,11,1, 208 
7,12,1, 228 
8,1,1, 234 
8,2,1, 218 
8,3,1, 223 
8,4,1, 203 
8,5,1, 222 
8,6,1, 225 
8,7,1, 240 
8,8,1, 229 
8,9,1, 222 
8,10,1, 213 
8,11,1, 208 
8,12,1, 228 
9,1,1, 234 
9,2,1, 218 
9,3,1, 223 
9,4,1, 203 
9,5,1, 222 
9,6,1, 225 
9,7,1, 240 
9,8,1, 229 
9,9,1, 222 
9,10,1, 213 
9,11,1, 208 
9,12,1, 228 
10,1,1, 234 
10,2,1, 218 
10,3,1, 223 
10,4,1, 203 
10,5,1, 222 
10,6,1, 225 
10,7,1, 240 
10,8,1, 229 
10,9,1, 222 
10,10,1, 213 
10,11,1, 208 
10,12,1, 228 
1,1,2, 215 
1,2,2, 200 
1,3,2, 206 
1,4,2, 187 
1,5,2, 203 
1,6,2, 203 
1,7,2, 215 
1,8,2, 207 
1,9,2, 201 
1,10,2, 195 
1,11,2, 190 
1,12,2, 209 
2,1,2, 215 
2,2,2, 200 
2,3,2, 206 
2,4,2, 187 
2,5,2, 203 
2,6,2, 203 
2,7,2, 215 
2,8,2, 207 
2,9,2, 201 
2,10,2, 195 
2,11,2, 190 
2,12,2, 209 
3,1,2, 215 
3,2,2, 200 
3,3,2, 206 
3,4,2, 187 
3,5,2, 203 
3,6,2, 203 
3,7,2, 215 
3,8,2, 207 
3,9,2, 201 
3,10,2, 195 
3,11,2, 190 
3,12,2, 209 
4,1,2, 215 
4,2,2, 200 
4,3,2, 206 
4,4,2, 187 
4,5,2, 203 
4,6,2, 203 
4,7,2, 215 
4,8,2, 207 
4,9,2, 201 
4,10,2, 195 
4,11,2, 190 
4,12,2, 209 
5,1,2, 215 
5,2,2, 200 
5,3,2, 206 
5,4,2, 187 
5,5,2, 203 
5,6,2, 203 
5,7,2, 215 
5,8,2, 207 
5,9,2, 201 
5,10,2, 195 
5,11,2, 190 
5,12,2, 209 
6,1,2, 215 
6,2,2, 200 
6,3,2, 206 
6,4,2, 187 
6,5,2, 203 
6,6,2, 203 
6,7,2, 215 
6,8,2, 207 
6,9,2, 201 
6,10,2, 195 
6,11,2, 190 
6,12,2, 209 
7,1,2, 215 
7,2,2, 200 
7,3,2, 206 
7,4,2, 187 
7,5,2, 203 
7,6,2, 203 
7,7,2, 215 
7,8,2, 207 
7,9,2, 201 
7,10,2, 195 
7,11,2, 190 
7,12,2, 209 
8,1,2, 215 
8,2,2, 200 
8,3,2, 206 
8,4,2, 187 
8,5,2, 203 
8,6,2, 203 
8,7,2, 215 
8,8,2, 207 
8,9,2, 201 
8,10,2, 195 
8,11,2, 190 
8,12,2, 209 
9,1,2, 215 
9,2,2, 200 
9,3,2, 206 
9,4,2, 187 
9,5,2, 203 
9,6,2, 203 
9,7,2, 215 
9,8,2, 207 
9,9,2, 201 
9,10,2, 195 
9,11,2, 190 
9,12,2, 209 
10,1,2, 215 
10,2,2, 200 
10,3,2, 206 
10,4,2, 187 
10,5,2, 203 
10,6,2, 203 
10,7,2, 215 
10,8,2, 207 
10,9,2, 201 
10,10,2, 195 
10,11,2, 190 
10,12,2, 209 
1,1,3, 204 
1,2,3, 189 
1,3,3, 197 
1,4,3, 179 
1,5,3, 192 
1,6,3, 190 
1,7,3, 201 
1,8,3, 195 
1,9,3, 189 
